iter	Passed	Remaining
374	4081	6802
375	4092	6791
376	4099	6774
377	4110	6764
378	4116	6744
379	4127	6734
380	4138	6724
381	4149	6713
382	4161	6703
383	4173	6694
384	4184	6684
385	4195	6674
386	4207	6664
387	4218	6653
388	4229	6643
389	4241	6633
390	4253	6624
391	4264	6614
392	4276	6605
393	4288	6595
394	4299	6585
395	4311	6575
396	4322	6565
397	4334	6555
398	4345	6546
399	4357	6535
400	4369	6526
401	4380	6516
402	4389	6502
403	4401	6492
404	4412	6482
405	4423	6472
406	4435	6462
407	4447	6452
408	4457	6441
409	4469	6431
410	4481	6422
411	4491	6410
412	4503	6401
413	4515	6390
414	4526	6380
415	4537	6370
416	4549	6360
417	4560	6350
418	4567	6334
419	4578	6323
420	4591	6314
421	4602	6304
422	4614	6293
423	4625	6283
424	4636	6273
425	4648	6262
426	4658	6251
427	4670	6241
428	4681	6231
429	4689	6215
430	4700	6205
431	4712	6195
432	4723	6185
433	4734	6175
434	4746	6165
435	4758	6155
436	4770	6145
437	4782	6135
438	4793	6125
439	4804	6114
440	4815	6104
441	4826	6093
442	4837	6082
443	4849	6072
444	4860	6061
445	4871	6051
446	4882	6040
447	4894	6030
448	4906	6021
449	4917	6009
450	4928	5999
451	4939	5989
452	4952	5979
453	4963	5968
454	4974	5958
455	4978	5939
456	4990	5929
457	5000	5917
458	5012	5907
459	5024	5897
460	5035	5887
461	5044	5873
462	5055	5863
463	5067	5853
464	5078	5842
465	5090	5832
466	5101	5822
467	5112	5811
468	5123	5801
469	5135	5790
470	5146	5780
471	5157	5769
472	5169	5759
473	5173	5741
474	5184	5730
475	5196	5720
476	5202	5704
477	5214	5694
478	5226	5685
479	5238	5675
480	5245	5659
481	5257	5649
482	5270	5640
483	5281	5631
484	5293	5620
485	5304	5610
486	5316	5600
487	5327	5589
488	5339	5579
489	5350	5569
490	5362	5558
491	5373	5548
492	5384	5537
493	5394	5525
494	5406	5515
495	5417	5505
496	5429	5494
497	5440	5483
498	5451	5473
499	5463	5463
500	5474	5453
501	5486	5442
502	5498	5432
503	5509	5421
504	5521	5411
505	5532	5401
506	5537	5384
507	5549	5374
508	5560	5364
509	5572	5353
510	5583	5343
511	5595	5332
512	5606	5322
513	5617	5311
514	5629	5301
515	5639	5289
516	5650	5279
517	5662	5269
518	5674	5259
519	5682	5245
520	5692	5234
521	5704	5223
522	5715	5212
523	5726	5201
524	5738	5191
525	5749	5181
526	5761	5170
527	5772	5160
528	5783	5149
529	5795	5139
530	5807	5129
531	5818	5118
532	5829	5107
533	5841	5097
534	5853	5087
535	5864	5077
536	5876	5066
537	5888	5056
538	5899	5046
539	5911	5035
540	5919	5022
541	5929	5010
542	5941	5000
543	5952	4989
544	5963	4979
545	5972	4965
546	5983	4955
547	5995	4944
548	6006	4934
549	6018	4924
550	6030	4913
551	6042	4903
552	6048	4889
553	6053	4873
554	6064	4862
555	6076	4852
556	6087	4841
557	6098	4830
558	6110	4820
559	6121	4809
560	6132	4799
561	6143	4788
562	6155	4777
563	6165	4766
564	6177	4756
565	6189	4745
566	6200	4735
567	6212	4724
568	6223	4714
569	6235	4704
570	6247	4693
571	6251	4677
572	6262	4667
573	6269	4652
574	6277	4640
575	6289	4629
576	6301	4619
577	6312	4608
578	6324	4598
579	6335	4588
580	6347	4577
581	6358	4566
582	6370	4556
583	6381	4545
584	6393	4535
585	6404	4524
586	6416	4514
587	6427	4503
588	6439	4493
589	6451	4482
590	6462	4472
591	6474	4462
592	6486	4451
593	6498	4441
594	6509	4430
595	6521	4420
596	6533	4410
597	6545	4400
598	6551	4385
599	6563	4375
600	6574	4364
601	6585	4354
602	6597	4343
603	6609	4333
604	6621	4323
605	6632	4312
606	6644	4302
607	6656	4291
608	6667	4280
609	6679	4270
610	6691	4260
611	6702	4249
612	6713	4238
613	6725	4228
614	6737	4217
615	6749	4207
616	6760	4196
617	6772	4186
618	6784	4175
619	6795	4165
620	6808	4155
621	6820	4144
622	6825	4130
623	6837	4120
624	6849	4109
625	6855	4095
626	6866	4084
627	6878	4074
628	6890	4063
629	6901	4053
630	6913	4043
631	6925	4032
632	6937	4022
633	6949	4011
634	6961	4001
635	6973	3990
636	6984	3980
637	6995	3969
638	7007	3958
639	7018	3948
640	7031	3937
641	7042	3927
642	7054	3916
643	7065	3905
644	7076	3894
645	7088	3884
646	7098	3873
647	7110	3862
648	7121	3851
649	7132	3840
650	7144	3830
651	7156	3819
652	7167	3808
653	7175	3796
654	7186	3785
655	7198	3774
656	7209	3764
657	7221	3753
658	7233	3742
659	7244	3732
660	7256	3721
661	7268	3711
662	7280	3700
663	7292	3690
664	7303	3679
665	7315	3668
666	7327	3658
667	7338	3647
668	7349	3636
669	7361	3625
670	7374	3615
671	7386	3605
672	7397	3594
673	7409	3583
674	7420	3572
675	7432	3562
676	7443	3551
677	7456	3541
678	7467	3530
679	7479	3519
680	7486	3506
681	7498	3496
682	7510	3485
683	7521	3474
684	7533	3464
685	7544	3453
686	7556	3442
687	7568	3432
688	7579	3421
689	7591	3410
690	7602	3399
691	7614	3389
692	7626	3378
693	7638	3367
694	7649	3357
695	7660	3346
696	7672	3335
697	7685	3325
698	7696	3314
699	7708	3303
700	7719	3292
701	7732	3282
702	7743	3271
703	7755	3260
704	7766	3249
705	7773	3237
706	7785	3226
707	7797	3215
708	7808	3205
709	7820	3194
710	7828	3181
711	7839	3171
712	7851	3160
713	7862	3149
714	7875	3139
715	7886	3128
716	7898	3117
717	7904	3104
718	7915	3093
719	7926	3082
720	7939	3072
721	7950	3061
722	7961	3050
723	7972	3039
724	7984	3028
725	7996	3017
726	8007	3006
727	8018	2995
728	8030	2985
729	8037	2972
730	8049	2962
731	8061	2951
732	8074	2941
733	8085	2930
734	8097	2919
735	8108	2908
736	8120	2897
737	8132	2887
738	8144	2876
739	8156	2865
740	8167	2854
741	8179	2844
742	8191	2833
743	8203	2822
744	8214	2811
745	8225	2800
746	8237	2789
747	8248	2778
748	8260	2768
749	8272	2757
750	8284	2746
751	8291	2734
752	8302	2723
753	8314	2712
754	8326	2701
755	8337	2691
756	8349	2680
757	8361	2669
758	8372	2658
759	8384	2647
760	8395	2636
761	8407	2626
762	8419	2615
763	8430	2604
764	8442	2593
765	8453	2582
766	8465	2571
767	8477	2560
768	8490	2550
769	8502	2539
770	8514	2528
771	8525	2517
772	8537	2507
773	8548	2496
774	8560	2485
775	8571	2474
776	8583	2463
777	8594	2452
778	8605	2441
779	8616	2430
780	8628	2419
781	8639	2408
782	8650	2397
783	8658	2385
784	8669	2374
785	8681	2363
786	8694	2353
787	8705	2342
788	8717	2331
789	8729	2320
790	8733	2307
791	8744	2296
792	8756	2285
793	8768	2274
794	8780	2264
795	8791	2253
796	8803	2242
797	8814	2231
798	8826	2220
799	8839	2209
800	8850	2198
801	8862	2188
802	8874	2177
803	8886	2166
804	8897	2155
805	8910	2144
806	8921	2133
807	8933	2122
808	8945	2111
809	8956	2100
810	8968	2089
811	8979	2079
812	8991	2068
813	9002	2057
814	9014	2046
815	9025	2035
816	9037	2024
817	9049	2013
818	9061	2002
819	9073	1991
820	9085	1980
821	9096	1969
822	9108	1958
823	9120	1948
824	9131	1937
825	9143	1926
826	9155	1915
827	9167	1904
828	9180	1893
829	9187	1881
830	9198	1870
831	9211	1859
832	9222	1848
833	9234	1838
834	9245	1827
835	9257	1816
836	9268	1805
837	9280	1794
838	9292	1783
839	9305	1772
840	9317	1761
841	9328	1750
842	9340	1739
843	9352	1728
844	9364	1717
845	9377	1707
846	9389	1696
847	9400	1684
848	9412	1674
849	9423	1663
850	9435	1652
851	9447	1641
852	9460	1630
853	9471	1619
854	9482	1608
855	9487	1595
856	9499	1585
857	9510	1574
858	9523	1563
859	9534	1552
860	9546	1541
861	9558	1530
862	9569	1519
863	9581	1508
864	9592	1497
865	9604	1486
866	9617	1475
867	9628	1464
868	9635	1452
869	9647	1441
870	9658	1430
871	9670	1419
872	9682	1408
873	9693	1397
874	9705	1386
875	9716	1375
876	9728	1364
877	9739	1353
878	9751	1342
879	9762	1331
880	9774	1320
881	9785	1309
882	9797	1298
883	9809	1287
884	9821	1276
885	9832	1265
886	9845	1254
887	9856	1243
888	9868	1232
889	9879	1221
890	9891	1210
891	9903	1199
892	9915	1188
893	9927	1177
894	9938	1165
895	9950	1154
896	9961	1143
897	9973	1132
898	9985	1121
899	9997	1110
900	10008	1099
901	10020	1088
902	10032	1077
903	10044	1066
904	10056	1055
905	10068	1044
906	10080	1033
907	10091	1022
908	10103	1011
909	10115	1000
910	10127	989
911	10138	978
912	10151	967
913	10162	956
914	10169	944
915	10181	933
916	10193	922
917	10197	910
918	10209	899
919	10215	888
920	10227	877
921	10239	866
922	10251	855
923	10263	844
924	10274	833
925	10285	821
926	10297	810
927	10309	799
928	10321	788
929	10332	777
930	10344	766
931	10355	755
932	10367	744
933	10379	733
934	10390	722
935	10402	711
936	10414	700
937	10426	689
938	10437	678
939	10450	667
940	10462	655
941	10473	644
942	10485	633
943	10497	622
944	10509	611
945	10521	600
946	10533	589
947	10545	578
948	10558	567
949	10569	556
950	10580	545
951	10592	534
952	10604	522
953	10616	511
954	10627	500
955	10638	489
956	10650	478
957	10662	467
958	10673	456
959	10685	445
960	10697	434
961	10709	423
962	10721	411
963	10733	400
964	10745	389
965	10757	378
966	10769	367
967	10781	356
968	10792	345
969	10803	334
970	10815	323
971	10826	311
972	10838	300
973	10850	289
974	10861	278
975	10873	267
976	10884	256
977	10895	245
978	10907	233
979	10919	222
980	10931	211
981	10943	200
982	10954	189
983	10966	178
984	10978	167
985	10989	156
986	11001	144
987	11013	133
988	11025	122
989	11037	111
990	11049	100
991	11061	89
992	11073	78
993	11084	66
994	11096	55
995	11107	44
996	11119	33
997	11131	22
998	11135	11
999	11147	0
