iter	Logloss
0	0.690651073
1	0.688112155
2	0.6855583786
3	0.6828996006
4	0.6803624092
5	0.677716826
6	0.675179862
7	0.6726050958
8	0.6701259575
9	0.6676551366
10	0.6651677316
11	0.6627157651
12	0.6603070593
13	0.6579634106
14	0.6556373138
15	0.6532807564
16	0.6508892549
17	0.6484879759
18	0.6464197375
19	0.6440169533
20	0.6416630766
21	0.639256484
22	0.6369344985
23	0.6347904618
24	0.6325669585
25	0.6302843251
26	0.6280735018
27	0.6258375094
28	0.6235136608
29	0.6213506218
30	0.6190621831
31	0.6168667135
32	0.6148106217
33	0.612613126
34	0.6103868605
35	0.6081962537
36	0.6060560501
37	0.6038051242
38	0.6017221574
39	0.599762424
40	0.5976875182
41	0.5955871991
42	0.5934547622
43	0.5915030572
44	0.5894221026
45	0.5873281782
46	0.5852631234
47	0.5832057822
48	0.5810739947
49	0.5790659524
50	0.577096182
51	0.575265558
52	0.5732577185
53	0.5713155283
54	0.5693863487
55	0.5674597529
56	0.5655157798
57	0.5636345117
58	0.5616431794
59	0.5597207259
60	0.5577526785
61	0.5558740876
62	0.5539503574
63	0.5520847862
64	0.5502491197
65	0.5483841242
66	0.5465566186
67	0.5446468944
68	0.5428405924
69	0.5410324325
70	0.5393453926
71	0.5375448114
72	0.5358276326
73	0.5340497845
74	0.532166913
75	0.5304073834
76	0.5286027647
77	0.5268544366
78	0.5251514228
79	0.5234677915
80	0.5217230012
81	0.5200486535
82	0.5182599624
83	0.516674867
84	0.5150292961
85	0.5133879405
86	0.5116791182
87	0.5100459121
88	0.508459295
89	0.5067646723
90	0.5051414703
91	0.5035939214
92	0.5020032548
93	0.5003769973
94	0.4988709686
95	0.4972934753
96	0.495740883
97	0.4941572875
98	0.4926412819
99	0.4910679593
100	0.4895744155
101	0.4879515463
102	0.4863745539
103	0.4848428673
104	0.4833023117
105	0.4818503422
106	0.4804086495
107	0.4789395793
108	0.4774591609
109	0.4759513956
110	0.4744594509
111	0.4731752178
112	0.471723789
113	0.4704357252
114	0.4689404391
115	0.4675802276
116	0.4661819375
117	0.4648879546
118	0.463517917
119	0.4620935052
120	0.4607460013
121	0.4593160498
122	0.4580880557
123	0.4567616078
124	0.4553436423
125	0.4539974012
126	0.4527924467
127	0.4514530519
128	0.450091066
129	0.4487260204
130	0.4474927157
131	0.4461517273
132	0.4450039962
133	0.443777877
134	0.442562799
135	0.4412589541
136	0.4399795113
137	0.4388134192
138	0.4375069762
139	0.436259071
140	0.4349978897
141	0.4338942157
142	0.4326826524
143	0.4313675022
144	0.430263012
145	0.4291313337
146	0.4279629473
147	0.4267282758
148	0.4254835284
149	0.424290079
150	0.4230680833
151	0.4219279833
152	0.420719037
153	0.4195426747
154	0.4184352093
155	0.417376355
156	0.4162017827
157	0.4150803804
158	0.4139674964
159	0.4128729302
160	0.4117514613
161	0.4106710404
162	0.4095621854
163	0.4084034713
164	0.4073029693
165	0.4062307775
166	0.4051603065
167	0.4040952288
168	0.403097986
169	0.4021103037
170	0.4010441046
171	0.3999681134
172	0.3989313553
173	0.3979922172
174	0.397076276
175	0.3960621574
176	0.3950126492
177	0.3940150315
178	0.3930037544
179	0.3920971167
180	0.3911453401
181	0.3901128503
182	0.3891242299
183	0.3881883703
184	0.3871644832
185	0.3861292625
186	0.3851978693
187	0.3843358062
188	0.3833591279
189	0.3825096549
190	0.3815405276
191	0.3806234425
192	0.3797533991
193	0.3788475785
194	0.377959555
195	0.3770328453
196	0.3760767946
197	0.375152661
198	0.3741772193
199	0.3732897018
200	0.3723835187
201	0.3714196604
202	0.3706729722
203	0.3698422217
204	0.3689598423
205	0.3680237507
206	0.3672356426
207	0.3665043133
208	0.3656694644
209	0.3649110647
210	0.3640020789
211	0.3631256283
212	0.3622071679
213	0.361337423
214	0.3604949072
215	0.3596646543
216	0.3588467061
217	0.3581319896
218	0.3572834499
219	0.3565113616
220	0.3557607917
221	0.3549348691
222	0.3541029229
223	0.3533674805
224	0.3525550271
225	0.3517390627
226	0.3510368761
227	0.3503176837
228	0.3495514385
229	0.348751369
230	0.3479357109
231	0.3471217087
232	0.3463248697
233	0.3456216307
234	0.344916065
235	0.3441720518
236	0.3434734241
237	0.3428233171
238	0.3420367836
239	0.3412997037
240	0.3406137335
241	0.3398412671
242	0.3391303702
243	0.3384218166
244	0.3377848621
245	0.3370512271
246	0.3363097965
247	0.3355501616
248	0.3348176474
249	0.3340727064
250	0.3333067079
251	0.3326032248
252	0.3318850366
253	0.3312491037
254	0.3305703838
255	0.3298928081
256	0.3291927894
257	0.3285219426
258	0.3279594469
259	0.3272324663
260	0.326533224
261	0.3259378812
262	0.3253339242
263	0.3246671198
264	0.3239717773
265	0.3232707067
266	0.3226014391
